2017-03-08 15:50:21.321  INFO 24928 --- [main] .MicroserviceGraphBuilderServiceImplTest : Starting MicroserviceGraphBuilderServiceImplTest with PID 24928 (started by bernie in /home/bernie/project/mgp-all/mgpback)
2017-03-08 15:50:21.322  INFO 24928 --- [main] .MicroserviceGraphBuilderServiceImplTest : The following profiles are active: log
2017-03-08 15:50:21.353  INFO 24928 --- [main] ationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@7dfb0c0f: startup date [Wed Mar 08 15:50:21 CST 2017]; root of context hierarchy
2017-03-08 15:50:21.975  INFO 24928 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2017-03-08 15:50:22.025  INFO 24928 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2017-03-08 15:50:23.020  INFO 24928 --- [main] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 0 (http)
2017-03-08 15:50:25.111  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.MicroserviceProjectDescription when creating persistent property for field: private long soselab.mpg.mpd.model.MicroserviceProjectDescription.timestamp
2017-03-08 15:50:25.112  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.MicroserviceProjectDescription when creating persistent property for field: private java.util.List soselab.mpg.mpd.model.MicroserviceProjectDescription.serviceCall
2017-03-08 15:50:25.116  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.ServiceCall when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.ServiceCall.id
2017-03-08 15:50:25.117  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.ServiceCall when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.ServiceCall.path
2017-03-08 15:50:25.117  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.ServiceCall when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.ServiceCall.method
2017-03-08 15:50:25.117  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.ServiceCall when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.ServiceCall.provider
2017-03-08 15:50:25.117  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.ServiceCall when creating persistent property for field: private boolean soselab.mpg.mpd.model.ServiceCall.unTest
2017-03-08 15:50:25.118  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.MicroserviceProjectDescription when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.MicroserviceProjectDescription.name
2017-03-08 15:50:25.118  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.MicroserviceProjectDescription when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.MicroserviceProjectDescription.swagger
2017-03-08 15:50:25.118  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.MicroserviceProjectDescription when creating persistent property for field: private java.util.List soselab.mpg.mpd.model.MicroserviceProjectDescription.endpoint
2017-03-08 15:50:25.120  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.Endpoint when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.Endpoint.id
2017-03-08 15:50:25.120  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.Endpoint when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.Endpoint.path
2017-03-08 15:50:25.120  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.Endpoint when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.Endpoint.method
2017-03-08 15:50:25.120  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.MicroserviceProjectDescription when creating persistent property for field: private java.util.List soselab.mpg.mpd.model.MicroserviceProjectDescription.endpointDep
2017-03-08 15:50:25.121  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.Endpoint2ServiceCallDependency when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.Endpoint2ServiceCallDependency.to
2017-03-08 15:50:25.122  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.mpd.model.Endpoint2ServiceCallDependency when creating persistent property for field: private java.lang.String soselab.mpg.mpd.model.Endpoint2ServiceCallDependency.from
2017-03-08 15:50:25.133  INFO 24928 --- [main] o.s.d.neo4j.mapping.Neo4jMappingContext  : No class information found in OGM meta-data for class org.bson.types.ObjectId so treating as simple type for SD Commons
2017-03-08 15:50:25.133  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.model.Scenario when creating persistent property for field: private org.bson.types.ObjectId soselab.mpg.bdd.model.Scenario.id
2017-03-08 15:50:25.133  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.model.Scenario when creating persistent property for field: private java.lang.String soselab.mpg.bdd.model.Scenario.name
2017-03-08 15:50:25.133  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.model.Scenario when creating persistent property for field: private java.lang.String soselab.mpg.bdd.model.Scenario.content
2017-03-08 15:50:25.134  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.model.Scenario when creating persistent property for field: private java.util.List soselab.mpg.bdd.model.Scenario.tags
2017-03-08 15:50:25.134  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.model.Scenario when creating persistent property for field: private soselab.mpg.bdd.model.Feature soselab.mpg.bdd.model.Scenario.feature
2017-03-08 15:50:25.134  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.model.Feature when creating persistent property for field: private org.bson.types.ObjectId soselab.mpg.bdd.model.Feature.id
2017-03-08 15:50:25.134  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.model.Feature when creating persistent property for field: private java.lang.String soselab.mpg.bdd.model.Feature.name
2017-03-08 15:50:25.135  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.model.Feature when creating persistent property for field: private java.lang.String soselab.mpg.bdd.model.Feature.content
